Site,N,P,NPratio,nfac
R1,0.61,0.1,13.5,c
R2,0.31,0.008,85.7,b
R3,0.31,0.07,9.8,b
R4,0.11,0.01,24.3,a
R5,0.11,0.1,2.4,a
R6,0.11,0.07,3.5,a
R7,0.11,0.2,1.2,a
R8,0.31,0.2,3.4,b
R9,0.61,0.008,168.7,c
R10,0.11,0.13,1.9,a
R11,0.31,0.1,6.9,b
R12,0.61,0.03,45,c
R13,0.31,0.13,5.3,b
R14,0.61,0.13,10.4,c
R15,0.61,0.01,134.9,c
R16,0.61,0.2,6.7,c
R17,0.11,0.008,30.4,a
R18,0.31,0.03,22.9,b
R19,0.31,0.01,68.6,b
R20,0.61,0.07,19.3,c
R21,0.11,0.03,8.1,a
R22,NA,NA,NA,
