bottle,n,p,np,day,hrs,chla.init,chla,nh4.init,nh4,srp.init,srp
52,50,1,110.5676569,1,25.15,0.081666667,0.03,1.964077316,10.74149797,5.257665455,2.736451248
53,10,13,1.701040875,1,25.76666667,0.081666667,0.02,1.964077316,-0.158049715,5.257665455,10.50483478
54,30,2,33.17029707,1,25.75,0.081666667,0.03,1.964077316,-0.192816345,5.257665455,5.139044093
55,10,22,1.005160517,1,25.78333333,0.081666667,0.02,1.964077316,-0.137682008,5.257665455,7.11450932
56,30,9,7.371177127,1,25.78333333,0.081666667,0.03,1.964077316,-0.125159868,5.257665455,7.061118368
57,30,13,5.103122626,1,25.81666667,0.081666667,0.03,1.964077316,0.814646749,5.257665455,11.86630406
58,50,17,6.503979818,1,25.85,0.081666667,0.03,1.964077316,2.553647424,5.257665455,4.178006955
59,50,13,8.505204377,1,25.85,0.081666667,0.03,1.964077316,0.447751119,5.257665455,8.823019788
60,10,1,22.11353138,1,25.65,0.081666667,0.02,1.964077316,-0.279659079,5.257665455,1.77541411
61,10,4,5.528382845,1,26,0.081666667,0.02,1.964077316,-0.07469595,5.257665455,5.779735518
62,50,4,27.64191423,1,26.01666667,0.081666667,0.03,1.964077316,2.354605391,5.257665455,1.294895541
63,50,22,5.025802587,1,26.03333333,0.081666667,0.02,1.964077316,2.783250247,5.257665455,2.736451248
64,30,17,3.902387891,1,26.06666667,0.081666667,0.02,1.964077316,4.472896153,5.257665455,6.10008123
65,30,22,3.015481552,1,26.08333333,0.081666667,0.02,1.964077316,-0.248682935,5.257665455,3.537315529
66,30,1,66.34059414,1,26.03333333,0.081666667,0.03,1.964077316,-0.219152836,5.257665455,3.05679696
1,50,9,12.28529521,2,23.46666667,0.081666667,0.1,1.964077316,11.40672553,5.257665455,49.88564761
2,30,22,3.015481552,2,23.45,0.081666667,0.09,1.964077316,12.55633064,5.257665455,14.62507366
3,30,13,5.103122626,2,23.43333333,0.081666667,0.09,1.964077316,11.20142744,5.257665455,6.940076777
4,50,22,5.025802587,2,23.46666667,0.081666667,0.08,1.964077316,12.75975821,5.257665455,8.748311338
5,50,1,110.5676569,2,23.43333333,0.081666667,0.07,1.964077316,19.18901416,5.257665455,4.679783575
6,30,1,66.34059414,2,23.41666667,0.081666667,0.08,1.964077316,4.387139148,5.257665455,4.981156002
7,50,13,8.505204377,2,23.43333333,0.081666667,0.1,1.964077316,10.51446576,5.257665455,6.63870435
8,10,13,1.701040875,2,23.4,0.081666667,0.08,1.964077316,10.81674149,5.257665455,10.5565459
9,10,22,1.005160517,2,23.38333333,0.081666667,0.06,1.964077316,2.68092976,5.257665455,16.38307949
10,10,1,22.11353138,2,23.38333333,0.081666667,0.04,1.964077316,0.767211653,5.257665455,7.241449204
11,30,9,7.371177127,2,23.38333333,0.081666667,0.07,1.964077316,5.352900519,5.257665455,8.597625125
12,10,2,11.05676569,2,23.38333333,0.081666667,0.06,1.964077316,1.191877729,5.257665455,12.36478046
13,10,4,5.528382845,2,23.4,0.081666667,0.06,1.964077316,3.460787932,5.257665455,5.282528429
