bottle,n,p,np,ntrt,nfac,nstand,p.s,np.s,n.s,hrs_1,hrs_2,hrs_3,chla.init,chla_1,chla_2,chla_3,nh4.init,nh4_1,nh4_2,nh4_3,srp.init,srp_1,srp_2,srp_3,growth_1,growth_2,growth_3,day1to3growth,day1to2growth,day2to3growth,day1to2srp,day2to3srp,day1to3srp,day1to2nh4,day2to3nh4,day1to3nh4
22,30,2,33.17029707,30,b,0,-0.517493789432379,0.25583237867337505,0,25.28333333,23.53333333,23.2,0.081666667,0.04,0.073333333,0.17,1.964077316,0.422712992,6.096843963,17.14184987,5.257665455,3.697488386,4.378411148,22.70829985,-0.0016479894662686865,0.0014164305809371714,0.0041666666810344834,0.0027817403710971283,0.0014164305809371714,0.0041666666810344834,0.02893439498993404,0.7900814095689654,0.40679339797480696,0.24111038123811762,0.47607784081896554,0.35775613864178
23,10,1,22.11353138,10,a,-0.6091237526412396,-0.5847286425168899,0.04994600925252557,-0.609,24.6,23.61666667,23.15,0.081666667,0.04,0.04,0.1,1.964077316,-0.159972648,3.00189501,6.932911575,5.257665455,8.502674075,21.10458084,1.401110831,-0.001693766951219512,0,0.0025917926565874735,0.0012829650747481851,0,0.0025917926565874735,0.5336022623805784,-0.8511218146436286,-0.15185096030279038,0.13388289305096926,0.1698063311015119,0.1516653789556903
24,10,22,1.005160517,10,a,-0.6091237526412396,0.8272032722578386,-0.34310978691962934,-0.609,24.65,23.65,23.1,0.081666667,0.03,0.05,0.15,1.964077316,0.343038953,5.467981952,16.25290851,5.257665455,16.19097118,10.70723211,4.899306043,-0.002096010831643002,8.456659619450319e-4,0.004329004329004328,0.0025668449197860962,8.456659619450319e-4,0.004329004329004328,-0.23187057378435513,-0.2514253708658008,-0.24153294410695184,0.21669949255813956,0.46687993757575763,0.34031806539037435
26,50,17,6.503979818,50,c,0.6091237526412396,0.4910290068352842,-0.24071710051151354,0.609,24.76666667,23.65,23,0.081666667,0.04,0.08,0.173333333,1.964077316,0.075717413,17.4497903,32.86530391,5.257665455,3.537315529,5.885273283,24.29838858,-0.0016823687884680526,0.0016913319238900635,0.0040579710000000005,0.002858163622722401,0.0016913319238900635,0.0040579710000000005,0.09927939763213532,0.8005702303043478,0.445039079335477,0.7346331030443976,0.6702397221739131,0.7028850267309754
27,50,13,8.505204377,50,c,0.6091237526412396,0.22208959449724067,-0.2034525992640108,0.609,24.81666667,23.68333333,22.95,0.081666667,0.04,0.08,0.24,1.964077316,-0.279714459,12.59687129,27.85982172,5.257665455,7.541636937,2.570176587,2.355164071,-0.0016789791938644754,0.001688951442883737,0.006971677559912853,0.0042887776986625286,0.001688951442883737,0.006971677559912853,-0.20991387828429467,-0.009368737080610033,-0.11121814581209565,0.543698202004743,0.6650523063180828,0.6034210760760129
28,10,2,11.05676569,10,a,-0.6091237526412396,-0.517493789432379,-0.15594036016832402,-0.609,24.86666667,23.65,22.98333333,0.081666667,0.04,0.05,0.113333333,1.964077316,0.551404903,2.450155981,8.112532225,5.257665455,3.537315529,6.63870435,13.00875858,-0.0016756032303383908,4.2283298097251594e-4,0.0027556200003996546,0.0015725518156949644,4.2283298097251594e-4,0.0027556200003996546,0.13113694803382667,0.27715971998218414,0.20310456865640494,0.0802854578435518,0.24636879962964017,0.16213997117670767
29,30,2,33.17029707,30,b,0,-0.517493789432379,0.25583237867337505,0,24.95,23.76666667,22.81666667,0.081666667,0.04,0.07,0.173333333,1.964077316,0.288501494,7.0742851,14.26902029,5.257665455,1.77541411,10.70723211,1.083093084,-0.0016700066933867735,0.0012622720895845343,0.004528853162230993,0.002862254017479463,0.0012622720895845343,0.004528853162230993,0.3758128190216251,-0.4218030251830821,-0.014861989822560005,0.2855168417271365,0.31532805795247215,0.3001184714275323
30,10,4,5.528382845,10,a,-0.6091237526412396,-0.38302408326335724,-0.2588835448787488,-0.609,24.95,23.78333333,22.81666667,0.081666667,0.04,0.06,0.14,1.964077316,0.068056447,2.537900653,8.213083781,5.257665455,1.294895541,4.679783575,1.401110831,-0.0016700066933867735,8.409250176371302e-4,0.0035062089111020885,0.002145922746781116,8.409250176371302e-4,0.0035062089111020885,0.1423218514845581,-0.1436963948950042,0.002279298068669527,0.1038476891245757,0.24872972069412277,0.1747859942918455
31,30,22,3.015481552,30,b,0,0.8272032722578386,-0.3056759015619199,0,25,23.76666667,22.81666667,0.081666667,0.04,0.07,0.16,1.964077316,-0.136759,13.48992463,27.79567896,5.257665455,5.619562662,59.8309377,9.033536749,-0.00166666668,0.0012622720895845343,0.003944485024989849,0.0025760286221715883,0.0012622720895845343,0.003944485024989849,2.2809835216155703,-2.2263287484402734,0.07328745802886763,0.5733527473249155,0.6269870413985409,0.5996229972666014
32,50,4,27.64191423,50,c,0.6091237526412396,-0.38302408326335724,0.1528891940560546,0.609,25.01666667,23.81666667,22.73333333,0.081666667,0.05,0.07,0.19,1.964077316,2.152614348,13.30013237,13.7594594,5.257665455,8.022155506,15.67987716,17.93803365,-0.001265822797965913,8.397480754597975e-4,0.005278592376140556,0.003007518796992482,8.397480754597975e-4,0.005278592376140556,0.3215278510676658,0.09933239693538602,0.2130156421911923,0.46805534025639534,0.020205001322610737,0.2493414619119227
33,50,9,12.28529521,50,c,0.6091237526412396,-0.046849817840802846,-0.1330640969200306,0.609,25.11666667,23.86666667,22.66666667,0.081666667,0.04,0.08,0.2,1.964077316,0.526717519,14.34142332,24.18232472,5.257665455,6.900945512,5.282528429,6.807412523,-0.0016589250296404877,0.0016759776533972098,0.005294117646280277,0.003438395414980173,0.0016759776533972098,0.005294117646280277,-0.06781077162460743,0.0672742982548126,-0.00201002125329369,0.57882845526832,0.43415741464203567,0.5083583208655648
34,10,13,1.701040875,10,a,-0.6091237526412396,0.22208959449724067,-0.3301519035315894,-0.609,25.11666667,23.86666667,22.63333333,0.081666667,0.03,0.04,0.11,1.964077316,-0.155292998,5.271545236,16.41662351,5.257665455,3.857661242,7.542821631,3.150208437,-0.0020570670335690686,4.1899441334930255e-4,0.0030927835056101306,0.0017204301075268817,4.1899441334930255e-4,0.0030927835056101306,0.15440616152871423,-0.19407716618469473,-0.0152140388172043,0.22738149021963944,0.49241877506515747,0.3563853012473118
35,30,9,7.371177127,30,b,0,-0.046849817840802846,-0.22456914996906696,0,25.1,23.88333333,22.66666667,0.081666667,0.04,0.07,0.15,1.964077316,-0.22294486,7.375595657,19.22211159,5.257665455,3.697488386,6.337331923,14.28082957,-0.001660026573705179,0.0012561060713546558,0.0035294117641868506,0.002363050483351235,0.0012561060713546558,0.0035294117641868506,0.11053078314173494,0.3504484255514046,0.2273542681847476,0.31815242922793474,0.5226404087319646,0.41772409129967775
36,30,17,3.902387891,30,b,0,0.4910290068352842,-0.2891609521388534,0,25.16666667,23.95,22.58333333,0.081666667,0.03,0.07,0.12,1.964077316,-0.19123954,16.0763141,27.73025555,5.257665455,11.22561263,24.26899132,15.55290055,-0.002052980145423446,0.0016701461377870567,0.002214022140548195,0.0019340974213419842,0.0016701461377870567,0.002214022140548195,0.5446087135699375,-0.3859523588761554,0.09299329341640353,0.6792297970772444,0.5160416878990467,0.600032129484243
37,30,4,16.58514854,30,b,0,-0.38302408326335724,-0.05299717536479502,0,25.26666667,23.91666667,22.56666667,0.081666667,0.03,0.06,0.13,1.964077316,4.552328672,10.84894036,16.24989521,5.257665455,6.10008123,11.00860454,4.899306043,-0.0020448548941893333,0.0012543554005220408,0.003101920235878594,0.002151308712491745,0.0012543554005220408,0.003101920235878594,0.20523442408289416,-0.2707222376409568,-0.025832381215370032,0.26327296252776683,0.2393333020325947,0.25165076808151293
38,10,9,2.457059042,10,a,-0.6091237526412396,-0.046849817840802846,-0.316074203055345,-0.609,25.35,23.86666667,22.55,0.081666667,0.03,0.06,0.113333333,1.964077316,1.974713811,2.985913664,13.46690838,5.257665455,6.660686228,9.501742406,40.04026704,-0.0020381328205128202,0.0012569832400479073,0.0023651145454545454,0.0017953321291349852,0.0012569832400479073,0.0023651145454545454,0.11903866665935213,1.3542582986252774,0.719129209542612,0.04236870891866358,0.46478912266075384,0.24758767471830606
39,30,1,66.34059414,30,b,0,-0.5847286425168899,0.8734914869359238,0,25.85,23.86666667,22.55,0.081666667,0.04,0.07,0.12,1.964077316,0.97465324,5.18131755,14.78278676,5.257665455,3.136883389,5.131842216,4.74029717,-0.00161186332688588,0.0012569832400479075,0.002217294900221729,0.0017235188508636608,0.0012569832400479075,0.002217294900221729,0.08358766033748775,-0.017363416674057653,0.034543923466100974,0.1762568844725898,0.4257857742793792,0.29748223021203
40,50,22,5.025802587,50,c,0.6091237526412396,0.8272032722578386,-0.2682420162042105,0.609,25.43333333,23.85,22.56666667,0.081666667,0.04,0.07,0.21,1.964077316,0.259703649,14.25799282,30.54340437,5.257665455,9.1433655,10.10448726,15.55290055,-0.0016382700002147141,0.001257861635220126,0.006203840471757187,0.0036624775580852797,0.001257861635220126,0.006203840471757187,0.04029860628930822,0.24143633482401233,0.1380869310493295,0.5869303635639412,0.721657823379371,0.6524316133319619
41,50,1,110.5676569,50,c,0.6091237526412396,-0.5847286425168899,1.6970369646193222,0.609,26.05,23.83333333,22.55,0.081666667,0.043333333,0.07,0.09,1.964077316,9.582643125,18.24282403,31.92365875,5.257665455,0.494031259,9.200369979,15.23488281,-0.0014715291362763913,0.00111888113302362,8.869179600886914e-4,0.001006108523248732,0.00111888113302362,8.869179600886914e-4,0.36530092536577635,0.26760589050997785,0.3178049202743662,0.363364233827044,0.6066889011086475,0.4816604159526885
42,30,13,5.103122626,30,b,0,0.22208959449724067,-0.26680225139780006,0,25.6,23.8,NA,0.081666667,0.04,0.09,NA,1.964077316,0.134812992,11.54737397,NA,5.257665455,3.216969817,4.529097362,NA,-0.0016276041796874998,0.0021008403361344537,NA,NA,0.0021008403361344537,NA,0.05513140945378151,NA,NA,0.4795193688235294,NA,NA
43,10,17,1.300795964,10,a,-0.6091237526412396,0.4910290068352842,-0.3376048037661933,-0.609,25.58333333,23.8,22.51666667,0.081666667,0.03,0.04,0.14,1.964077316,0.923561678,2.419906364,12.31024677,5.257665455,1.615241254,54.55692023,6.17137703,-0.0020195439872338168,4.2016806722689084e-4,0.0044411546995645965,0.00237495501962037,4.2016806722689084e-4,0.0044411546995645965,2.224440293109244,-2.1488768257366577,0.09836925028439228,0.06287162546218487,0.43924531774400516,0.24584422650983484
44,50,2,55.28382845,50,c,0.6091237526412396,-0.517493789432379,0.6676051175150743,0.609,25.66666667,23.78333333,22.56666667,0.081666667,0.05,0.06,0.13,1.964077316,7.663880513,14.76424406,24.27084045,5.257665455,0.01351269,4.679783575,8.132486467,-0.0012337662465930171,4.2046250881856495e-4,0.003101920235878594,0.001725997842502697,4.2046250881856495e-4,0.003101920235878594,0.19619919631341265,0.15300012813101915,0.17516664028047463,0.2985436670495506,0.42126719594959133,0.35829471277238406
45,10,17,1.300795964,10,a,-0.6091237526412396,0.4910290068352842,-0.3376048037661933,-0.609,25.2,23.63333333,22.51666667,0.081666667,0.02,0.03,0.053333333,1.964077316,-0.120721738,3.456347795,23.97501537,5.257665455,9.623884069,6.18664571,5.853359283,-0.00244708996031746,4.2313117072258547e-4,0.0010362694150945566,7.222824052004332e-4,4.2313117072258547e-4,0.0010362694150945566,-0.1454402690896249,-0.014801765815721426,-0.08170151215601303,0.1513569619254382,0.9112657692951496,0.5221178138244854
46,50,2,55.28382845,50,c,0.6091237526412396,-0.517493789432379,0.6676051175150743,0.609,25.23333333,23.65,22.48333333,0.081666667,0.04,0.06,0.07,1.964077316,4.377857109,13.90812416,23.67293188,5.257665455,8.823019788,NA,9.669572242,-0.0016512549671930323,8.456659619450317e-4,4.447739066634213e-4,6.502890173880267e-4,8.456659619450317e-4,4.447739066634213e-4,NA,NA,0.01835012544930274,0.40297112266384777,0.4343131677441532,0.4182458404420698
47,30,4,16.58514854,30,b,0,-0.38302408326335724,-0.05299717536479502,0,25.25,23.7,22.41666667,0.081666667,0.03,0.05,0.08,1.964077316,-0.208661313,5.957184323,14.39743909,5.257665455,3.216969817,27.43340181,23.18532647,-0.0020462046336633664,8.438818565400846e-4,0.0013382899626262765,0.00108420672200331,8.438818565400846e-4,0.0013382899626262765,1.0217903794514769,-0.18950521960007355,0.43299653021084233,0.2601622631223629,0.37651694122282275,0.3167206447837571
48,10,9,2.457059042,10,a,-0.6091237526412396,-0.046849817840802846,-0.316074203055345,-0.609,25.28333333,23.68333333,22.41666667,0.081666667,0.02,0.03,0.05,1.964077316,0.00628876,3.292440596,15.01638282,5.257665455,4.178006955,14.32370124,5.69435041,-0.0024390244037493765,4.222378607209342e-4,8.921933084175179e-4,6.507592190889371e-4,4.222378607209342e-4,8.921933084175179e-4,0.4283896250427009,-0.3849524533256576,0.0328924827548807,0.13875377212368104,0.5230011400263195,0.32559856963123646
49,10,2,11.05676569,10,a,-0.6091237526412396,-0.517493789432379,-0.15594036016832402,-0.609,25.61666667,23.4,22.41666667,0.081666667,0.03,0.04,0.06,1.964077316,0.211368803,2.460938272,7.594852807,5.257665455,5.459389805,11.15929075,4.899306043,-0.0020169160830166666,4.2735042735042746e-4,8.921933084175175e-4,6.54783557609692e-4,4.2735042735042746e-4,8.921933084175175e-4,0.2435855104700855,-0.27925582331906973,-0.012224454608059326,0.09613544739316239,0.22902220970572157,0.16115279745644576
51,50,9,12.28529521,50,c,0.6091237526412396,-0.046849817840802846,-0.1330640969200306,0.609,25.63333333,23.38333333,22.41666667,0.081666667,0.03,0.04,0.09,1.964077316,1.817470189,9.754635437,20.66562792,5.257665455,5.139044093,9.501742406,2.673181817,-0.00201560469467043,4.2765502500750614e-4,0.002230483271043794,0.0013100436681222707,4.2765502500750614e-4,0.002230483271043794,0.18657298561462196,-0.30461980318146914,-0.053839787685589516,0.3394368602622148,0.48673572407632176,0.4115318281877729
52,50,1,110.5676569,50,c,0.6091237526412396,-0.5847286425168899,1.6970369646193222,0.609,25.15,23.35,22.4,0.081666667,0.03,0.04,0.04,1.964077316,10.74149797,19.02598869,26.4226565,5.257665455,2.736451248,41.44721966,12.21371421,-0.002054340636182903,4.282655246252677e-4,0,2.1857923497267765e-4,4.282655246252677e-4,0,1.657848754261242,-1.305067207589286,0.20715328878688524,0.35479617644539607,0.33020838437500005,0.34275756349726777
53,10,13,1.701040875,10,a,-0.6091237526412396,0.22208959449724067,-0.3301519035315894,-0.609,25.76666667,23.35,22.43333333,0.081666667,0.02,0.04,0.063333333,1.964077316,-0.158049715,4.550133127,21.54832247,5.257665455,10.50483478,15.67987716,3.468226184,-0.002393272975110831,8.565310492505353e-4,0.001040118856023792,9.464870695993073e-4,8.565310492505353e-4,0.001040118856023792,0.22162922398286938,-0.5443529410615681,-0.1536936715656129,0.20163523948608134,0.757720178849587,0.47411078674729595
54,30,2,33.17029707,30,b,0,-0.517493789432379,0.25583237867337505,0,25.75,23.36666667,22.43333333,0.081666667,0.03,0.04,0.06,1.964077316,-0.192816345,4.759457263,15.46623398,5.257665455,5.139044093,34.51565384,7.443448016,-0.002006472504854369,4.2796005700029106e-4,8.915304607565423e-4,6.550218340611354e-4,4.2796005700029106e-4,8.915304607565423e-4,1.2572015581801423,-1.2067848065983335,0.05031449613537118,0.21193752955607165,0.47727087898622156,0.341900662117904
55,10,22,1.005160517,10,a,-0.6091237526412396,0.8272032722578386,-0.34310978691962934,-0.609,25.78333333,23.36666667,22.45,0.081666667,0.02,0.04,0.05,1.964077316,-0.137682008,4.066347094,12.53363238,5.257665455,7.11450932,14.77575988,1.719128578,-0.002391725934375142,8.55920114000582e-4,4.454342984409801e-4,6.54783557609692e-4,8.55920114000582e-4,4.454342984409801e-4,0.3278709226351112,-0.581587140400891,-0.11776021989685263,0.17991565341228022,0.3771619281069042,0.27656561048551725
56,30,9,7.371177127,30,b,0,-0.046849817840802846,-0.22456914996906696,0,25.78333333,23.38333333,22.43333333,0.081666667,0.03,0.05,0.06,1.964077316,-0.125159868,8.886478363,19.24423618,5.257665455,7.061118368,17.63879793,23.34433534,-0.002003878487654024,8.553100500150123e-4,4.4576523037827097e-4,6.547835577526059e-4,8.553100500150123e-4,4.4576523037827097e-4,0.4523597817608496,0.2543330198000496,0.35539942468612584,0.38538723730369034,0.4617128299497345,0.4227587351942902
57,30,13,5.103122626,30,b,0,0.22208959449724067,-0.26680225139780006,0,25.81666667,23.36666667,22.35,0.081666667,0.03,0.043333333,0.05,1.964077316,0.814646749,14.52601179,28.31955882,5.257665455,11.86630406,4.830469789,1.560119704,-0.002001291168237406,5.706133950683862e-4,2.982848769574944e-4,4.374772146965019e-4,5.706133950683862e-4,2.982848769574944e-4,-0.30110560356617605,-0.14632438859060404,-0.225436041310577,0.5867916564498158,0.6171609409395973,0.6016386161646635
58,50,17,6.503979818,50,c,0.6091237526412396,0.4910290068352842,-0.24071710051151354,0.609,25.85,23.35,22.36666667,0.081666667,0.03,0.05,0.09,1.964077316,2.5536474240000002,14.8752097,30.50237711,5.257665455,4.178006955,6.789390564,2.832190691,-0.0019987105222437134,8.565310492505354e-4,0.001788375558600838,0.0013124316440895054,8.565310492505354e-4,0.001788375558600838,0.11183655713062096,-0.1769239883342885,-0.029438197533398592,0.5276900332334046,0.6986811061551892,0.6113466208668358
